epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.402,1.17676,3.61378,1.52542,0.13917,0.32906,0.14519,0.08719,1.27032,2.68569,1.71298,0.00333012,0.00333012,0.00333012
2,179.437,1.15677,2.72303,1.45859,0.35486,0.40384,0.31661,0.18325,1.35029,2.296,1.76699,0.00653151,0.00653151,0.00653151
3,263.03,1.19942,2.4732,1.46609,0.3632,0.38661,0.33053,0.19433,1.42507,2.2734,1.88638,0.00960091,0.00960091,0.00960091
4,346.049,1.21023,2.30271,1.4677,0.49759,0.50528,0.49643,0.31749,1.21789,1.88926,1.62533,0.009406,0.009406,0.009406
5,429.066,1.17508,2.06534,1.42973,0.60448,0.56771,0.59857,0.39908,1.16025,1.54415,1.57904,0.009208,0.009208,0.009208
6,512.303,1.13763,1.87718,1.39613,0.5747,0.60711,0.62696,0.42923,1.1238,1.4933,1.52954,0.00901,0.00901,0.00901
7,595.156,1.11004,1.73073,1.37331,0.69426,0.64404,0.70635,0.48996,1.08114,1.30422,1.48905,0.008812,0.008812,0.008812
8,677.834,1.09031,1.64515,1.36039,0.71996,0.65503,0.73233,0.51912,1.05687,1.23332,1.46068,0.008614,0.008614,0.008614
9,760.751,1.06456,1.55278,1.34361,0.73517,0.65619,0.75515,0.53836,1.05308,1.16577,1.45447,0.008416,0.008416,0.008416
10,843.535,1.04737,1.48552,1.33359,0.73862,0.68507,0.77706,0.55124,1.05166,1.09862,1.44417,0.008218,0.008218,0.008218
11,926.426,1.03557,1.43258,1.31965,0.78067,0.71454,0.81564,0.59398,0.9944,0.97634,1.39827,0.00802,0.00802,0.00802
12,1009.5,1.00957,1.35595,1.30189,0.81672,0.74844,0.84324,0.6199,0.97249,0.92951,1.37086,0.007822,0.007822,0.007822
13,1093.53,1.0009,1.3191,1.29523,0.81029,0.7623,0.85637,0.63341,0.96071,0.88088,1.35346,0.007624,0.007624,0.007624
14,1181.71,0.99675,1.29284,1.29362,0.83772,0.76459,0.87182,0.64781,0.94872,0.85092,1.34959,0.007426,0.007426,0.007426
